# run 1000ns
T=235000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=0 F=0 ALARM=0 | estop=0 weight=0
T=245000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=0 F=0 ALARM=0 | estop=0 weight=0
T=255000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=0 F=0 ALARM=0 | estop=0 weight=0
T=265000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=0 F=0 ALARM=0 | estop=0 weight=0
T=275000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=0 F=0 ALARM=0 | estop=0 weight=0

=== TC5: Move to 5th floor ===
T=285000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=0 TARGET=0 next_target=0 direction=1 r_above=0 r_below=0 req=1 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=295000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=0 TARGET=0 next_target=5 direction=1 r_above=1 r_below=0 req=0 current_state=                    door_close | UP=0 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=305000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=0 TARGET=5 next_target=5 direction=1 r_above=1 r_below=0 req=0 current_state=                          idle | UP=0 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=315000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=0 TARGET=5 next_target=5 direction=1 r_above=1 r_below=0 req=0 current_state=                       move_up | UP=1 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=325000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=1 TARGET=5 next_target=5 direction=1 r_above=1 r_below=0 req=0 current_state=                       move_up | UP=1 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=335000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=2 TARGET=5 next_target=5 direction=1 r_above=1 r_below=0 req=0 current_state=                       move_up | UP=1 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=345000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=3 TARGET=5 next_target=5 direction=1 r_above=1 r_below=0 req=0 current_state=                       move_up | UP=1 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
